DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
438,19060722,    0,     ,
438,19060723,    0,     ,
438,19060724,    0,     ,
438,19060725,    0,     ,
438,19060726,    0,     ,
438,19060727,    0,     ,
438,19060728,    0,     ,
438,19060729,    0,     ,
438,19060730,    0,     ,
438,19060731,    0,     ,
438,19060801,   15,     ,
438,19060802,    0,     ,
438,19060803,   12,     ,
438,19060804,    0,     ,
438,19060805,   25,     ,
438,19060806,    1,     ,
438,19060807,    0,     ,
438,19060808,    0,     ,
438,19060809,   25,     ,
438,19060810,    1,     ,
438,19060811,   40,     ,
438,19060812,    6,     ,
438,19060813,    0,     ,
438,19060814,   24,     ,
438,19060815,   68,     ,
438,19060816,   32,     ,
438,19060817,  422,     ,
438,19060818,  262,     ,
438,19060819,  183,     ,
438,19060820,    0,     ,
438,19060821,    0,     ,
438,19060822,    0,     ,
438,19060823,    0,     ,
438,19060824,    0,     ,
438,19060825,   34,     ,
438,19060826,   29,     ,
438,19060827,    7,     ,
438,19060828,    0,     ,
438,19060829,    1,     ,
438,19060830,    1,     ,
438,19060831,    0,     ,
438,19060901,    0,     ,
438,19060902,    0,     ,
438,19060903,    0,     ,
438,19060904,    0,     ,
438,19060905,    4,     ,
438,19060906,    8,     ,
438,19060907,   42,     ,
438,19060908,    0,     ,
438,19060909,    1,     ,
438,19060910,    1,     ,
438,19060911,    4,     ,
438,19060912,    1,     ,
438,19060913,    0,     ,
438,19060914,    0,     ,
438,19060915,    2,     ,
438,19060916,   16,     ,
438,19060917,   27,     ,
438,19060918,   66,     ,
438,19060919,   59,     ,
438,19060920,    0,     ,
438,19060921,    1,     ,
438,19060922,    0,     ,
438,19060923,    0,     ,
438,19060924,    0,     ,
438,19060925,    0,     ,
438,19060926,    0,     ,
438,19060927,    1,     ,
438,19060928,    0,     ,
438,19060929,    1,     ,
438,19060930,    1,     ,
438,19061001,    0,     ,
438,19061002,   58,     ,
438,19061003,  241,     ,
438,19061004,   11,     ,
438,19061005,    0,     ,
438,19061006,   82,     ,
438,19061007,    0,     ,
438,19061008,    0,     ,
438,19061009,   15,     ,
438,19061010,    0,     ,
438,19061011,    0,     ,
438,19061012,    1,     ,
438,19061013,  167,     ,
438,19061014,   64,     ,
438,19061015,    6,     ,
438,19061016,   13,     ,
438,19061017,   77,     ,
438,19061018,    0,     ,
438,19061019,    1,     ,
438,19061020,    8,     ,
438,19061021,    0,     ,
438,19061022,    1,     ,
438,19061023,    0,     ,
438,19061024,   78,     ,
438,19061025,    1,     ,
438,19061026,    1,     ,
438,19061027,    0,     ,
438,19061028,   21,     ,
438,19061029,   62,     ,
438,19061030,    4,     ,
438,19061031,    0,     ,
438,19061101,    0,     ,
438,19061102,    0,     ,
438,19061103,   77,     ,
438,19061104,    2,     ,
438,19061105,   23,     ,
438,19061106,    1,     ,
438,19061107,   29,     ,
438,19061108,    8,     ,
438,19061109,   50,     ,
438,19061110,   41,     ,
438,19061111,    0,     ,
438,19061112,    0,     ,
438,19061113,    1,     ,
438,19061114,    0,     ,
438,19061115,    0,     ,
438,19061116,   80,     ,
438,19061117,   62,     ,
438,19061118,   80,     ,
438,19061119,   87,     ,
438,19061120,   49,     ,
438,19061121,    0,     ,
438,19061122,   17,     ,
438,19061123,    4,     ,
438,19061124,    2,     ,
438,19061125,    3,     ,
438,19061126,    1,     ,
438,19061127,   95,     ,
438,19061128,   21,     ,
438,19061129,    4,     ,
438,19061130,   21,     ,
438,19061201,   15,     ,
438,19061202,   30,     ,
438,19061203,   37,     ,
438,19061204,   79,     ,
438,19061205,   42,     ,
438,19061206,  115,     ,
438,19061207,    0,     ,
438,19061208,    0,     ,
438,19061209,   79,     ,
438,19061210,   97,     ,
438,19061211,   34,     ,
438,19061212,   40,     ,
438,19061213,   10,     ,
438,19061214,   71,     ,
438,19061215,   77,     ,
438,19061216,   14,     ,
438,19061217,    0,     ,
438,19061218,    8,     ,
438,19061219,    0,     ,
438,19061220,    1,     ,
438,19061221,    0,     ,
438,19061222,    0,     ,
438,19061223,    1,     ,
438,19061224,    0,     ,
438,19061225,   77,     ,
438,19061226,   69,     ,
438,19061227,   70,     ,
438,19061228,    5,     ,
438,19061229,   10,     ,
438,19061230,    0,     ,
438,19061231,    4,     ,
438,19070101,   18,     ,
438,19070102,   79,     ,
438,19070103,    6,     ,
438,19070104,   48,     ,
438,19070105,    6,     ,
438,19070106,   32,     ,
438,19070107,    0,     ,
438,19070108,    0,     ,
438,19070109,    0,     ,
438,19070110,    0,     ,
438,19070111,   28,     ,
438,19070112,    0,     ,
438,19070113,    7,     ,
438,19070114,    0,     ,
438,19070115,    0,     ,
438,19070116,    0,     ,
438,19070117,    0,     ,
438,19070118,    0,     ,
438,19070119,    3,     ,
438,19070120,    3,     ,
438,19070121,    2,     ,
438,19070122,   39,     ,
438,19070123,    0,     ,
438,19070124,    0,     ,
438,19070125,    0,     ,
438,19070126,    8,     ,
438,19070127,   21,     ,
438,19070128,   17,     ,
438,19070129,   15,     ,
438,19070130,    2,     ,
438,19070131,   20,     ,
438,19070201,   34,     ,
438,19070202,    0,     ,
438,19070203,    0,     ,
438,19070204,   14,     ,
438,19070205,   10,     ,
438,19070206,    0,     ,
438,19070207,    0,     ,
438,19070208,    0,     ,
438,19070209,    2,     ,
438,19070210,    1,     ,
438,19070211,    0,     ,
438,19070212,   18,     ,
438,19070213,   41,     ,
438,19070214,    8,     ,
438,19070215,    0,     ,
438,19070216,   64,     ,
438,19070217,   21,     ,
438,19070218,   14,     ,
438,19070219,   33,     ,
438,19070220,   82,     ,
438,19070221,   21,     ,
438,19070222,   11,     ,
438,19070223,    6,     ,
438,19070224,   10,     ,
438,19070225,   34,     ,
438,19070226,    1,     ,
438,19070227,    0,     ,
438,19070228,    0,     ,
438,19070301,    0,     ,
438,19070302,    1,     ,
438,19070303,    2,     ,
438,19070304,    0,     ,
438,19070305,    0,     ,
438,19070306,   16,     ,
438,19070307,    1,     ,
438,19070308,   40,     ,
438,19070309,  109,     ,
438,19070310,   25,     ,
438,19070311,    8,     ,
438,19070312,    6,     ,
438,19070313,   27,     ,
438,19070314,   36,     ,
438,19070315,   14,     ,
438,19070316,   12,     ,
438,19070317,   17,     ,
438,19070318,   18,     ,
438,19070319,    0,     ,
438,19070320,  115,     ,
438,19070321,    1,     ,
438,19070322,    0,     ,
438,19070323,    6,     ,
438,19070324,   15,     ,
438,19070325,    0,     ,
438,19070326,    1,     ,
438,19070327,    2,     ,
438,19070328,    0,     ,
438,19070329,    1,     ,
438,19070330,    0,     ,
438,19070331,    1,     ,
438,19070401,    0,     ,
438,19070402,    0,     ,
438,19070403,    0,     ,
438,19070404,    5,     ,
438,19070405,    0,     ,
438,19070406,    1,     ,
438,19070407,   47,     ,
438,19070408,   40,     ,
438,19070409,   64,     ,
438,19070410,    8,     ,
438,19070411,   70,     ,
438,19070412,    0,     ,
438,19070413,    0,     ,
438,19070414,    2,     ,
438,19070415,    0,     ,
438,19070416,    0,     ,
438,19070417,    0,     ,
