DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
475,19721102,    0,    0,
475,19721103,    0,    0,
475,19721104,   22,    0,
475,19721105,    3,    0,
475,19721106,   32,    0,
475,19721107,   10,    0,
475,19721108,   82,    0,
475,19721109,    0,    0,
475,19721110,    0,    0,
475,19721111,  145,    0,
475,19721112,   27,    0,
475,19721113,  115,    0,
475,19721114,   47,    0,
475,19721115,   85,    0,
475,19721116,    5,    0,
475,19721117,   12,    0,
475,19721118,   33,    0,
475,19721119,    4,    0,
475,19721120,   15,    0,
475,19721121,   69,    0,
475,19721122,    0,    0,
475,19721123,   27,    0,
475,19721124,   59,    0,
475,19721125,    2,    0,
475,19721126,   14,    0,
475,19721127,    0,    0,
475,19721128,    0,    0,
475,19721129,    2,    0,
475,19721130,   21,    0,
475,19721201,    5,    0,
475,19721202,    0,    0,
475,19721203,    8,    0,
475,19721204,    0,    0,
475,19721205,   22,    0,
475,19721206,   30,    0,
475,19721207,   31,    0,
475,19721208,    4,    0,
475,19721209,    4,    0,
475,19721210,   54,    0,
475,19721211,   24,    0,
475,19721212,    0,    0,
475,19721213,    6,    0,
475,19721214,   14,    0,
475,19721215,    0,    0,
475,19721216,    0,    0,
475,19721217,    1,    0,
475,19721218,    0,    0,
475,19721219,    0,    0,
475,19721220,    0,    0,
475,19721221,    0,    0,
475,19721222,    0,    0,
475,19721223,    0,    0,
475,19721224,    0,    0,
475,19721225,    0,    0,
475,19721226,    0,    0,
475,19721227,    0,    0,
475,19721228,    0,    0,
475,19721229,    0,    0,
475,19721230,    0,    0,
475,19721231,    0,    0,
475,19730101,    0,    0,
475,19730102,    0,    0,
475,19730103,    0,    0,
475,19730104,    0,    0,
475,19730105,    0,    0,
475,19730106,    0,    0,
475,19730107,    1,    0,
475,19730108,    0,    0,
475,19730109,    0,    0,
475,19730110,    0,    0,
475,19730111,    0,    0,
475,19730112,    0,    0,
475,19730113,    0,    0,
475,19730114,    0,    0,
475,19730115,    0,    0,
475,19730116,    4,    0,
475,19730117,    0,    0,
475,19730118,    0,    0,
475,19730119,    0,    0,
475,19730120,    0,    0,
475,19730121,   21,    0,
475,19730122,    2,    0,
475,19730123,   28,    0,
475,19730124,    5,    0,
475,19730125,    0,    0,
475,19730126,    7,    0,
475,19730127,   63,    0,
475,19730128,   14,    0,
475,19730129,    4,    0,
475,19730130,    4,    0,
475,19730131,   38,    0,
475,19730201,    0,    0,
475,19730202,    0,    0,
475,19730203,    0,    0,
475,19730204,    0,    0,
475,19730205,    0,    0,
475,19730206,    0,    0,
475,19730207,    1,    0,
475,19730208,   27,    0,
475,19730209,   99,    0,
475,19730210,   35,    0,
475,19730211,   67,    0,
475,19730212,   52,    0,
475,19730213,  154,    0,
475,19730214,   69,    2,
475,19730215,    0,    0,
475,19730216,    0,    0,
475,19730217,    0,    0,
475,19730218,   42,    0,
475,19730219,   10,    0,
475,19730220,    0,    0,
475,19730221,    0,    0,
475,19730222,    7,    0,
475,19730223,    0,    0,
475,19730224,   44,    4,
475,19730225,   35,    2,
475,19730226,    0,    0,
475,19730227,    1,    0,
475,19730228,    0,    0,
475,19730301,    2,    0,
475,19730302,   37,    0,
475,19730303,   20,    0,
475,19730304,   15,    0,
475,19730305,    0,    0,
475,19730306,    3,    0,
475,19730307,   29,    0,
475,19730308,    0,    0,
475,19730309,    0,    0,
475,19730310,    0,    0,
475,19730311,    0,    0,
475,19730312,    1,    0,
475,19730313,    0,    0,
475,19730314,    0,    0,
475,19730315,    0,    0,
475,19730316,    0,    0,
475,19730317,    2,    0,
475,19730318,    1,    0,
475,19730319,    0,    0,
475,19730320,    0,    0,
475,19730321,    0,    0,
475,19730322,    0,    0,
475,19730323,    0,    0,
475,19730324,    0,    0,
475,19730325,    0,    0,
475,19730326,    0,    0,
475,19730327,    0,    0,
475,19730328,    2,    0,
475,19730329,   22,    0,
475,19730330,    0,    0,
475,19730331,    4,    0,
475,19730401,    0,    0,
475,19730402,  142,    0,
475,19730403,  101,    0,
475,19730404,    0,    0,
475,19730405,   18,    0,
475,19730406,   14,    0,
475,19730407,   11,    0,
475,19730408,    7,    0,
475,19730409,   15,    0,
475,19730410,    0,    0,
475,19730411,    8,    0,
475,19730412,   35,    0,
475,19730413,   20,    0,
475,19730414,    0,    0,
475,19730415,   10,    0,
475,19730416,   14,    0,
475,19730417,    2,    0,
475,19730418,    8,    0,
475,19730419,   21,    0,
475,19730420,   10,    0,
475,19730421,   30,    0,
475,19730422,   34,    0,
475,19730423,    0,    0,
475,19730424,   25,    0,
475,19730425,    0,    0,
475,19730426,    0,    0,
475,19730427,    0,    0,
475,19730428,    0,    0,
475,19730429,   10,    0,
475,19730430,    1,    0,
475,19730501,   61,    0,
475,19730502,    8,    0,
475,19730503,    0,    0,
475,19730504,   80,    0,
475,19730505,   40,    0,
475,19730506,    3,    0,
475,19730507,   28,    0,
475,19730508,    0,    0,
475,19730509,    3,    0,
475,19730510,   69,    0,
475,19730511,   19,    0,
475,19730512,    2,    0,
475,19730513,    0,    0,
475,19730514,   37,    0,
475,19730515,    2,    0,
475,19730516,    0,    0,
475,19730517,    0,    0,
475,19730518,    0,    0,
475,19730519,    0,    0,
475,19730520,  107,    0,
475,19730521,    2,    0,
475,19730522,  151,    0,
475,19730523,   19,    0,
475,19730524,   29,    0,
475,19730525,    1,    0,
475,19730526,    0,    0,
475,19730527,    0,    0,
475,19730528,    0,    0,
475,19730529,   22,    0,
475,19730530,    2,    0,
475,19730531,   12,    0,
475,19730601,   14,    0,
475,19730602,   73,    0,
475,19730603,  129,    0,
475,19730604,    3,    0,
475,19730605,    0,    0,
475,19730606,    0,    0,
475,19730607,    0,    0,
475,19730608,    0,    0,
475,19730609,    0,    0,
475,19730610,    0,    0,
475,19730611,    0,    0,
475,19730612,    0,    0,
475,19730613,    0,    0,
475,19730614,    0,    0,
475,19730615,    0,    0,
475,19730616,    0,    0,
475,19730617,    0,    0,
475,19730618,    0,    0,
475,19730619,    0,    0,
