DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
475,19710722,   14,    0,
475,19710723,   37,    0,
475,19710724,  149,    0,
475,19710725,    2,    0,
475,19710726,   13,    0,
475,19710727,    0,    0,
475,19710728,    0,    0,
475,19710729,   42,    0,
475,19710730,    5,    0,
475,19710731,    0,    0,
475,19710801,    6,    0,
475,19710802,    0,    0,
475,19710803,    0,    0,
475,19710804,   68,    0,
475,19710805,   38,    0,
475,19710806,    9,    0,
475,19710807,   41,    0,
475,19710808,   18,    0,
475,19710809,    0,    0,
475,19710810,    1,    0,
475,19710811,   53,    0,
475,19710812,   23,    0,
475,19710813,    1,    0,
475,19710814,    7,    0,
475,19710815,   34,    0,
475,19710816,    0,    0,
475,19710817,    0,    0,
475,19710818,    0,    0,
475,19710819,    0,    0,
475,19710820,    0,    0,
475,19710821,   66,    0,
475,19710822,    0,    0,
475,19710823,    6,    0,
475,19710824,   45,    0,
475,19710825,    0,    0,
475,19710826,    0,    0,
475,19710827,    3,    0,
475,19710828,    9,    0,
475,19710829,   14,    0,
475,19710830,    0,    0,
475,19710831,   51,    0,
475,19710901,    0,    0,
475,19710902,    4,    0,
475,19710903,    0,    0,
475,19710904,    0,    0,
475,19710905,    0,    0,
475,19710906,    0,    0,
475,19710907,    0,    0,
475,19710908,    0,    0,
475,19710909,    0,    0,
475,19710910,    0,    0,
475,19710911,    0,    0,
475,19710912,    0,    0,
475,19710913,    0,    0,
475,19710914,   14,    0,
475,19710915,    0,    0,
475,19710916,    0,    0,
475,19710917,    0,    0,
475,19710918,    0,    0,
475,19710919,    0,    0,
475,19710920,    2,    0,
475,19710921,    1,    0,
475,19710922,    0,    0,
475,19710923,    0,    0,
475,19710924,   59,    0,
475,19710925,   62,    0,
475,19710926,   17,    0,
475,19710927,   35,    0,
475,19710928,   43,    0,
475,19710929,    1,    0,
475,19710930,    0,    0,
475,19711001,    0,    0,
475,19711002,    0,    0,
475,19711003,    1,    0,
475,19711004,    1,    0,
475,19711005,    0,    0,
475,19711006,    0,    0,
475,19711007,    0,    0,
475,19711008,    0,    0,
475,19711009,    0,    0,
475,19711010,    0,    0,
475,19711011,    0,    0,
475,19711012,    0,    0,
475,19711013,   92,    0,
475,19711014,   87,    0,
475,19711015,    0,    0,
475,19711016,    0,    0,
475,19711017,    0,    0,
475,19711018,   11,    0,
475,19711019,   62,    0,
475,19711020,   56,    0,
475,19711021,    9,    0,
475,19711022,    0,    0,
475,19711023,    1,    0,
475,19711024,    3,    0,
475,19711025,    0,    0,
475,19711026,    0,    0,
475,19711027,    0,    0,
475,19711028,    0,    0,
475,19711029,    0,    0,
475,19711030,    0,    0,
475,19711031,    1,    0,
475,19711101,    1,    0,
475,19711102,    1,    0,
475,19711103,    0,    0,
475,19711104,    0,    0,
475,19711105,    0,    0,
475,19711106,   20,    0,
475,19711107,   13,    0,
475,19711108,   59,    0,
475,19711109,   17,    0,
475,19711110,    1,    0,
475,19711111,    0,    0,
475,19711112,    4,    0,
475,19711113,    2,    0,
475,19711114,   22,    0,
475,19711115,    1,    0,
475,19711116,    0,    0,
475,19711117,    6,    0,
475,19711118,   84,    0,
475,19711119,  101,    0,
475,19711120,   18,    0,
475,19711121,   54,    0,
475,19711122,   73,    0,
475,19711123,   59,    0,
475,19711124,    6,    0,
475,19711125,    0,    0,
475,19711126,   40,    0,
475,19711127,   17,    0,
475,19711128,    1,    0,
475,19711129,   31,    0,
475,19711130,    0,    0,
475,19711201,   26,    0,
475,19711202,    0,    0,
475,19711203,    0,    0,
475,19711204,    0,    0,
475,19711205,    0,    0,
475,19711206,    0,    0,
475,19711207,    0,    0,
475,19711208,    0,    0,
475,19711209,    2,    0,
475,19711210,   21,    0,
475,19711211,    0,    0,
475,19711212,    0,    0,
475,19711213,    0,    0,
475,19711214,    0,    0,
475,19711215,    0,    0,
475,19711216,    0,    0,
475,19711217,    0,    0,
475,19711218,    0,    0,
475,19711219,    0,    0,
475,19711220,   67,    0,
475,19711221,   29,    0,
475,19711222,   38,    0,
475,19711223,   64,    0,
475,19711224,    0,    0,
475,19711225,    0,    0,
475,19711226,    0,    0,
475,19711227,    0,    0,
475,19711228,   18,    0,
475,19711229,    9,    0,
475,19711230,    1,    0,
475,19711231,    0,    0,
475,19720101,    0,    0,
475,19720102,    0,    0,
475,19720103,    0,    0,
475,19720104,    0,    0,
475,19720105,    0,    0,
475,19720106,    0,    0,
475,19720107,    0,    0,
475,19720108,    0,    0,
475,19720109,    0,    0,
475,19720110,    0,    0,
475,19720111,    0,    0,
475,19720112,   58,    0,
475,19720113,    0,    0,
475,19720114,    6,    0,
